Cluster,SubclusterName,end.year,five.year.job.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
Local Commercial Services,Building Support Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,"Commercial Photography, Printing and Signmaking",NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,Laundry and Linen Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,Local Professional Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,Miscellaneous Repair Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,Security Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,Stationery and Office Supply Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Commercial Services,Testing Laboratories,NA,NA,NA,NA,NA,NA,NA,NA
Local Community and Civic Organizations,Business Associations,NA,NA,NA,NA,NA,NA,NA,NA
Local Community and Civic Organizations,Labor Organizations,NA,NA,NA,NA,NA,NA,NA,NA
Local Community and Civic Organizations,Political Organizations,NA,NA,NA,NA,NA,NA,NA,NA
Local Community and Civic Organizations,Religious Organizations,NA,NA,NA,NA,NA,NA,NA,NA
Local Community and Civic Organizations,Social Service Organizations,NA,NA,NA,NA,NA,NA,NA,NA
Local Community and Civic Organizations,Trusts,NA,NA,NA,NA,NA,NA,NA,NA
Local Education and Training,Elementary and Secondary Schools,NA,NA,NA,NA,NA,NA,NA,NA
Local Education and Training,Job Training Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Education and Training,Recreational and Other Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Book and Periodical Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Electronic and Photographic Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Electronic Media,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Movie Theatres,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Musical Instruments Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Newspapers,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Sporting and Hobby Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Entertainment and Media,Video Tape and Disc Rental,NA,NA,NA,NA,NA,NA,NA,NA
Local Financial Services,Collection Agencies,NA,NA,NA,NA,NA,NA,NA,NA
Local Financial Services,Deposit-taking Institutions,NA,NA,NA,NA,NA,NA,NA,NA
Local Financial Services,Insurance Agents and Brokers,NA,NA,NA,NA,NA,NA,NA,NA
Local Financial Services,"Pension, Health, and Welfare Funds",NA,NA,NA,NA,NA,NA,NA,NA
Local Financial Services,Tax Return Preparation Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,Beer and Liquor Wholesaling,NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,"Beer, Wine, and Liquor Retailing",NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,Commerical and Retail Bakeries,NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,Food Wholesaling,NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,Retail Food Stores,NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,Tobacco Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Food and Beverage Processing and Distribution,Vending and Direct Selling,NA,NA,NA,NA,NA,NA,NA,NA
Local Government Services,NA,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Drug Stores,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Funeral Service and Crematories,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Healthcare Provider Offices,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Home and Residential Care,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Home Health Equipment Rental,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Hospitals,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Medical Laboratories,NA,NA,NA,NA,NA,NA,NA,NA
Local Health Services,Optical Goods Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Hospitality Establishments,Gifts and Souvenirs Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Hospitality Establishments,Hospitality Establishments,NA,NA,NA,NA,NA,NA,NA,NA
Local Hospitality Establishments,Recreational Facilities and Instruction,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Appliance Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Electronics Repair,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Furniture and Homefurnishings Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Gardening Products and Supplies Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Hardware Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Hardware Wholesaling,NA,NA,NA,NA,NA,NA,NA,NA
Local Household Goods and Services,Landscape and Horticultural Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Industrial Products and Services,Industrial Machinery and Distribution,NA,NA,NA,NA,NA,NA,NA,NA
Local Industrial Products and Services,Industrial Products and Services Wholesaling,NA,NA,NA,NA,NA,NA,NA,NA
Local Industrial Products and Services,Industrial Repair Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Industrial Products and Services,Miscellaneous Equipment Rental and Leasing,NA,NA,NA,NA,NA,NA,NA,NA
Local Logistical Services,Local Passenger Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Local Logistical Services,Local Transportation Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Logistical Services,Passenger Car Rental,NA,NA,NA,NA,NA,NA,NA,NA
Local Logistical Services,Truck Leasing,NA,NA,NA,NA,NA,NA,NA,NA
Local Logistical Services,Warehousing Services,NA,NA,NA,NA,NA,NA,NA,NA
Local Motor Vehicle Products and Services,Automobile Dealers,NA,NA,NA,NA,NA,NA,NA,NA
Local Motor Vehicle Products and Services,Automotive Parts Retailing,NA,NA,NA,NA,NA,NA,NA,NA
Local Motor Vehicle Products and Services,Automotive Parts Wholesaling,NA,NA,NA,NA,NA,NA,NA,NA
